mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Price
الزلفي,,حي المنتزة,جنوب,,10,654,107
الرياض,شرق الرياض,حي النسيم الشرقي,شرق,تجاري,30,462,1900
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,,18,494,3500
الرياض,شرق الرياض,حي الروضة,شمال غربي,سكني,15,750,2200
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18,594,4100
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18,2912,3500
الرياض,شمال الرياض,حي الربيع,جنوب,سكني,15,520,3900
الرياض,شمال الرياض,حي الواحة,شمال,سكني,15,864,3900
الرياض,شمال الرياض,حي العليا,شمال,سكني,14,600,2750
الرياض,شمال الرياض,حي حطين,جنوب,سكني,36,1200,4600
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20,500,2600
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,15,1050,2200
الرياض,شمال الرياض,حي حطين,شمال غربي,سكني,20,2800,4100
الزلفي,,حي قرطبة,شمال,سكني,15,630,246
الرياض,غرب الرياض,حي عرقة,جنوب غربي,,20,1400,3300
الرياض,شرق الرياض,حي اشبيلية,3 شوارع,تجاري,60,2500,3500
الرياض,شمال الرياض,حي المصيف,غرب,سكني أو تجاري,36,910,3900
الرياض,شمال الرياض,حي الندى,3 شوارع,تجاري,60,9185,6000
الرياض,شمال الرياض,حي الصحافة,شمال,تجاري,36,720,4166
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني أو تجاري,36,3840,4400
الرياض,وسط الرياض,حي الربوة,جنوب غربي,سكني,12,1600,2200
الرياض,شمال الرياض,حي العقيق,جنوب,سكني أو تجاري,20,1000,3000
الرياض,شمال الرياض,حي العقيق,جنوب,سكني أو تجاري,30,1000,3000
الرياض,شمال الرياض,حي المرسلات,شمال,سكني,12,720,3150
الرياض,غرب الرياض,حي ظهرة نمار,غرب,سكني,20,814,1100
مدينة الملك عبدالله الاقتصادية,,حي ازميرالدا,شمال شرقي,سكني,20,419,1300
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,تجاري,30,1050,3300
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15,780,2800
الرياض,غرب الرياض,حي ضاحية نمار,شرق,سكني,20,810,617
رابغ,,حي الفرنيسية الشرقية,جنوب,سكني,20,436,229
جدة,شمال جدة,حي البشائر,شمال,,20,1300,1000
بريدة,,حي الرحاب,جنوب,سكني,15,522,430
المدينة المنورة,,حي العزيزية,شمال شرقي,,20,1652,1100
الرياض,شمال الرياض,حي بنبان,جنوب,,25,630,650
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,15,1050,2800
ثادق,,حي الجنادرية,جنوب شرقي,سكني أو تجاري,30,606,247
الخبر,,حي الصواري,شرق,سكني,15,1600,781
الرس,,حي الاحتفالات,شمال,تجاري,40,690,579
الرس,,حي الملك فيصل,3 شوارع,سكني أو تجاري,30,1500,666
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,12,540,3550
الرياض,شمال الرياض,حي بنبان,شرق,,20,760,700
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15,875,3200
الرياض,جنوب الرياض,حي عريض,شمال شرقي,سكني,15,900,777
جدة,شمال جدة,حي الشراع,غرب,سكني,15,538,2137
احد رفيده,,حي العزيزية,3 شوارع,سكني,12,720,305
الرياض,شمال الرياض,حي المرسلات,شمال غربي,سكني,15,1560,2500
المدينة المنورة,,حي شظاة,جنوب,سكني,25,625,1800
الرياض,جنوب الرياض,حي السلي,4 شوارع,تجاري,100,820205,450
الرياض,شمال الرياض,حي بنبان,3 شوارع,تجاري,60,4500,2950
المدينة المنورة,,حي المطار,3 شوارع,سكني أو تجاري,30,9700,516
الرياض,شمال الرياض,حي حطين,شرق,سكني,15,675,4500
الرياض,غرب الرياض,حي طويق,3 شوارع,تجاري,,4500,1400
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,25,450,4200
الدمام,,حي الخالدية الشمالية,شمال,سكني أو تجاري,20,461,2603
جدة,شمال جدة,حي الفروسية,شمال,,30,380,1500
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,20,900,1510
الرياض,جنوب الرياض,حي عريض,غرب,سكني,15,500,720
الهفوف,,حي جنوب الهفوف,غرب,سكني,20,3000,430
الرياض,شمال الرياض,حي المحمدية,جنوب شرقي,سكني,15,729,4801
الرياض,شمال الرياض,حي المغرزات,غرب,سكني,15,600,3250
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,20,667,4200
الرياض,شرق الرياض,حي الخليج,غرب,سكني,15,390,2300
الرياض,شمال الرياض,حي بنبان,شرق,سكني أو تجاري,30,830,963
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,400,4300
الدمام,,حي البادية,شرق,سكني,13,325,1846
الدمام,,حي السيف,3 شوارع,,20,1484,1500
الرياض,غرب الرياض,حي المهدية,شمال,,25,450,1666
الرياض,شرق الرياض,حي القادسية,شمال,سكني,20,325,1700
الرياض,غرب الرياض,حي الخزامى,جنوب,سكني أو تجاري,30,500,4200
الرياض,جنوب الرياض,حي بدر,شرق,سكني,18,434,1100
الرياض,غرب الرياض,حي المهدية,شمال,سكني,20,375,1400
الدرعية,,حي الدرعية الجديدة,شرق,سكني,15,325,1800
الرياض,شرق الرياض,حي قرطبة,غرب,تجاري,30,858,3000
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,20,600,3750
الرياض,شمال الرياض,حي النرجس,جنوب,تجاري,36,900,3950
الخبر,,حي الكوثر,شمال,سكني أو تجاري,40,875,857
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,20,1070,3200
الخبر,,حي الصواري,شمال شرقي,سكني,15,700,1057
الرياض,غرب الرياض,حي طويق,شرق,,15,400,1625
الرياض,شمال الرياض,حي الملقا,شمال,سكني,18,760,4100
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,سكني,30,3250,4500
الرياض,شرق الرياض,حي القادسية,شرق,سكني,15,1100,2000
الخبر,,حي الشراع,شمال,سكني,30,875,971
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15,375,3500
الرياض,غرب الرياض,حي عرقة,غرب,سكني,15,405,3600
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20,1677,3700
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15,448,1650
الرياض,شرق الرياض,حي المونسية,شمال شرقي,سكني أو تجاري,30,1400,2500
الرياض,شمال الرياض,حي بنبان,شمال,سكني,20,405,778
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20,1575,3500
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60,2002,4000
الرياض,شمال الرياض,حي حطين,غرب,سكني,20,875,4100
الرياض,شمال الرياض,حي النفل,شمال,سكني أو تجاري,36,1500,4500
الرياض,شرق الرياض,حي المعيزلة,شرق,,12,351,1650
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20,1500,3400
الرياض,شرق الرياض,حي الشهداء,شمال شرقي,تجاري,36,900,4500
الخبر,,حي العقيق,جنوب,تجاري,100,625,4160
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25,2050,4100
الرياض,شمال الرياض,حي الملقا,غرب,سكني,25,2487,4000
الرياض,غرب الرياض,حي ظهرة البديعة,جنوب,سكني,12,312,1300
الرياض,شمال الرياض,حي الربيع,شمال شرقي,سكني,20,1140,3700
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,15,560,3200
الرياض,غرب الرياض,حي المهدية,شمال غربي,,20,900,1000
الرياض,غرب الرياض,حي السفارات,3 شوارع,سكني,20,5100,4800
الرياض,غرب الرياض,حي عرقة,شمال,سكني,15,2300,3700
الخبر,,حي الرجاء,شرق,سكني,20,600,850
الرياض,شمال الرياض,حي الواحة,شمال,سكني,15,864,3800
الرياض,شمال الرياض,حي النفل,جنوب شرقي,سكني,12,720,3200
الدمام,,حي السيف,شرق,سكني,20,875,1350
الرياض,شمال الرياض,حي المصيف,شرق,سكني,15,780,2400
الخبر,,حي البستان,شمال,تجاري,25,1980,4150
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20,2100,4300
الرياض,شمال الرياض,حي الورود,جنوب,سكني,12,475,2950
الرياض,شمال الرياض,حي الملقا,شمال غربي,,60,5000,4500
الطائف,,حي الوكف,شمال شرقي,,15,365,1506
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20,900,3800
الرياض,شمال الرياض,حي النرجس,شمال,تجاري,80,900,7300
مكة المكرمة,,حي الراشدية,جنوب غربي,سكني,20,10000,700
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15,540,2600
الرياض,شمال الرياض,حي الصحافة,شمال شرقي,سكني,15,806,3200
الرياض,شرق الرياض,حي اليرموك,شرق,تجاري,30,900,2650
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,2175,3000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,16,540,3600
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,540,3500
بريدة,,حي الريان,غرب,,30,1175,834
الرياض,شمال الرياض,حي الرحمانية,جنوب غربي,سكني,10,1650,4000
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,تجاري,30,900,3000
الرياض,شمال الرياض,حي حطين,3 شوارع,تجاري,100,13025,7500
جدة,شمال جدة,حي الشراع,شمال,سكني,16,400,2000
المدينة المنورة,,حي السكب,4 شوارع,,100,790000,200
الرياض,شمال الرياض,حي النرجس,جنوب غربي,,20,562,2800
الرياض,شمال الرياض,حي الرحمانية,شرق,سكني,15,550,3100
الزلفي,,حي حطين,غرب,سكني,30,675,192
عنيزة,,حي الحزم,غرب,,60,24784,23
الرياض,شمال الرياض,حي حطين,جنوب غربي,سكني,15,902,5000
الرياض,شرق الرياض,حي اليرموك,شرق,تجاري,30,900,2300
سكاكا,,حي مخطط كريم الدرزي,شمال,سكني,20,600,250
مكة المكرمة,,حي الملك فهد,غرب,تجاري,50,864,925
الخبر,,حي الحمرا,شمال,سكني,16,600,1700
بيش,,حي بيش,شمال,سكني أو تجاري,20,49549,220
الرياض,شمال الرياض,حي بنبان,جنوب,,15,750,700
ابها,,حي القريقر,شرق,,15,600,916
الرس,,حي الحزم,شمال,سكني,15,547,548
الدرعية,,حي الدرعية الجديدة,شمال غربي,سكني أو تجاري,20,11716,257
المدينة المنورة,,حي الدفاع,جنوب,سكني,20,1312,1000
الزلفي,,حي النهضة,3 شوارع,سكني,20,625,144
بريدة,,حي الورش الجنوبية,شمال,تجاري,20,750,333
الرياض,غرب الرياض,حي طويق,شمال غربي,سكني,15,375,1500
الرياض,شرق الرياض,حي الروابي,شرق,سكني,15,471,2600
الرياض,شرق الرياض,حي النظيم,شرق,تجاري,40,764,1400
جدة,شمال جدة,حي الزمرد,غرب,سكني,16,625,432
الخبر,,حي البحر,شمال غربي,سكني,25,1409,1550
الدمام,,حي احد,شمال,تجاري,40,900,4000
الرياض,شمال الرياض,حي المروج,غرب,سكني,20,510,3000
الرياض,غرب الرياض,حي المهدية,جنوب,,25,465,2000
الرياض,شرق الرياض,حي قرطبة,جنوب,تجاري,80,2003,4100
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15,442,1810
الهفوف,,حي العزيزية,شمال شرقي,سكني,15,800,875
الرياض,شمال الرياض,حي العقيق,غرب,تجاري,30,900,4444
